Claim,Claim Count,Issues
for the release of Yolanda MagellÃÂÃÂ³n Perez who was wrongfully detained by ICE,0,
against president trump; against rep. andy harris supporting trump; for democracy,0,Trump
"in commemoration of International Women's Day; for women's rights; for reproductive rights, immigrants' rights; against President Trump's policies",0,"Abortion, Immigration"
against Congressman Aaron Bean's involvement with DOGE seeking access to Social Security Data,0,
against police brutality; against the killing of Alejandro Campos Rios by Fullerton PD; for accountability of police officers responsible for brutality; for the release of names of police officers associated with the killing of Rios,0,Racial Justice
against President Trump; for women's rights; for abortion access; against immigrant deportation and family separation,0,"Abortion, Immigration"
for women's rights; against President Trump; against Elon Musk; against cuts to social security spending; for democracy; for Palestine liberation,0,"Abortion, Gaza, Musk/DOGE"
against the murder of Emily Pike; against the killing of indigenous women,0,
against potential Social Securtiy staffing cuts nationwide,0,
against Texas A&M's recent drag ban; against Texas A&M's recent banning of Draggieland,0,
against Congresswoman Nicole Malliotakis' choice to back a budget resolution that would danger Medicaid and HIV services,0,Healthcare
against SB 1; for diversity equity and inclusion,0,
in commemoration of International womens day,0,
against federal budget cuts for public lands; for fully funding public lands;,0,Musk/DOGE
against federal Medicaid cuts,0,Healthcare
for science; against President Trump's attacks on science; for research; against scientific censorship,0,Trump
"against President Trump's policies; against executive orders that threaten the foundations of scientific research and could carry deadly and costly long-term consequences; for an expansion in funding for scientific research; for the reinstatement of initiatives on both diversity, equity, and inclusion and accessibility within government-funded science",0,Trump
in commemoration of international Women's Day,0,
for Palestinian liberation; against capitalism; against deportations; against ICE; against Trump; in solidarity with LGBTQ people,0,"Gaza, Immigration, LGBTplus"
against President Trump's federal layoffs; against DOGE,0,Trump
against Republican Representative Bill Huizenga not holding an in-person town hall; against the Trump adminstration's policies,0,Trump
against a January 6th insurrectionsist speaking at a Laguna Woods Republican meeting,0,Gun Control
against President Trump's cuts to Veterans Affairs; against cuts to veteran services; for funding for veterans; against layoffs for VA employees,0,Trump
for palestinian liberation; against israel,0,Gaza
against the alleged beating and killing of Messiah Nantwi by corrections officers,0,
in commemoration of International WomenÃÂ¢ÃÂÃÂs Day; against the Trump adminstration's policies,0,Trump
